Incidencia,Virulencia,P-hosp,Letalidad,Acumulado hosp,sDist,N decesos infeccion,N decesos hosp,Acumulado defunciones,atpi,Escenario
0.341424128,0.188212208,0.078398706,0.033566289,4847,1970771038,620,355,975,12712089,NvProp Intermedio
0.340261816,0.188371302,0.078911762,0.033696022,4899,1972313402,641,350,991,12774547,NvProp Intermedio
0.342496868,0.185265253,0.077367187,0.031878389,4784,1972796807,615,314,929,12163965,NvProp Intermedio
0.341676657,0.19324636,0.080629717,0.033837045,4968,1975653408,646,337,983,12803542,NvProp Intermedio
0.345487145,0.191266437,0.078991209,0.033999016,4789,1975663815,651,316,967,12003795,NvProp Intermedio
0.342727085,0.186832127,0.077318671,0.033126508,4781,1972048210,639,322,961,12742113,NvProp Intermedio
0.342176015,0.190251845,0.078838781,0.033879516,4853,1973755939,639,339,978,12650091,NvProp Intermedio
0.342832924,0.18711635,0.077336567,0.034842355,4719,1969455892,646,353,999,12742637,NvProp Intermedio
0.345331352,0.187022508,0.077579079,0.033882627,4785,1969871671,674,315,989,12561078,NvProp Intermedio
0.341155707,0.186601229,0.07783061,0.033840135,4796,1974044984,641,345,986,12460807,NvProp Intermedio
0.344745736,0.192476963,0.079492811,0.034555082,4959,1971363561,639,366,1005,12841556,NvProp Intermedio
0.345097419,0.189890615,0.079083085,0.032501916,4861,1975452822,590,343,933,12004793,NvProp Intermedio
0.343360875,0.190154905,0.078327217,0.033975904,4866,1973341297,658,329,987,12756521,NvProp Intermedio
0.343099665,0.188379919,0.0780061,0.034097933,4859,1969052945,627,366,993,12840064,NvProp Intermedio
0.34287166,0.190256499,0.07886512,0.034360475,4870,1971472501,656,342,998,12926556,NvProp Intermedio
0.344779624,0.189287909,0.078371869,0.03324913,4881,1971414597,664,310,974,13055678,NvProp Intermedio
0.344615055,0.187001376,0.077475103,0.034938102,4761,1967703507,677,339,1016,12877684,NvProp Intermedio
0.341261152,0.19500966,0.079855015,0.033337444,4230,1843012569,514,297,811,44653877,NvProp Bajo
0.341000456,0.188219178,0.077491516,0.032328767,4247,1843496047,562,264,826,45670188,NvProp Bajo
0.34222225,0.187544968,0.076717283,0.033815653,4158,1838917247,534,312,846,45569401,NvProp Bajo
0.339888003,0.191399524,0.077267151,0.03591047,4094,1839038878,575,301,876,45438636,NvProp Bajo
0.341877106,0.190854555,0.077858166,0.033451194,4240,1842745950,564,278,842,45625564,NvProp Bajo
0.342879568,0.188759025,0.077361564,0.033946308,4180,1844960341,552,299,851,44835806,NvProp Bajo
0.341668787,0.192041732,0.077783332,0.033685147,4201,1839305588,548,285,833,45885079,NvProp Bajo
0.34171546,0.185813573,0.075311918,0.032992641,4002,1843877695,543,264,807,44375595,NvProp Bajo
0.345463686,0.190064181,0.076112999,0.033471444,4098,1843777434,581,243,824,45335357,NvProp Bajo
0.342508936,0.196273743,0.079708127,0.034963907,4293,1839432902,574,293,867,45787077,NvProp Bajo
0.342074551,0.191366193,0.076502425,0.036718492,4085,1838614382,543,345,888,45235841,NvProp Bajo
0.343008625,0.189071742,0.077563305,0.031505251,4175,1847865977,524,259,783,44469804,NvProp Bajo
0.33969286,0.188443031,0.076178059,0.033602479,4090,1842960546,531,293,824,45045990,NvProp Bajo
0.342971582,0.188784894,0.076728925,0.033800629,4104,1839481151,515,312,827,45449686,NvProp Bajo
0.342832794,0.18972,0.076235998,0.03572,4131,1837453565,612,281,893,45791357,NvProp Bajo
0.342117137,0.188594154,0.07665786,0.032880981,4091,1842542266,509,293,802,44706912,NvProp Bajo
0.343425358,0.191260114,0.077773893,0.03348554,4226,1843814177,549,287,836,45134194,NvProp Bajo
0.342093365,0.187425054,0.076873254,0.033975538,4154,1838184155,535,315,850,45651356,NvProp Bajo
0.342021028,0.187487238,0.075189373,0.034344754,4030,1841353853,561,280,841,45107312,NvProp Bajo
0.342697483,0.191182942,0.077190274,0.036004321,4200,1836306848,579,321,900,46444852,NvProp Bajo
0.343782014,0.189018407,0.07742227,0.032144119,4283,1840308214,533,286,819,45665979,NvProp Bajo
0.339836444,0.189600797,0.076484794,0.034276703,4054,1842711028,515,311,826,44701593,NvProp Bajo
0.338662348,0.188887082,0.077766793,0.031216974,4169,1843710313,478,290,768,44850689,NvProp Bajo
0.341698298,0.191483113,0.077069857,0.033941682,4039,1848132615,525,284,809,43425774,NvProp Bajo
0.343956278,0.184469574,0.0746043,0.032866905,3997,1842057246,538,270,808,44754953,NvProp Bajo
0.344308775,0.190528393,0.07610256,0.033896075,3817,1851766876,528,245,773,41964971,NvProp Bajo
0.344792517,0.191119769,0.07796186,0.034376395,4174,1840883176,535,312,847,45231315,NvProp Bajo
0.346626162,0.190421893,0.075867292,0.034492588,4107,1840174925,569,278,847,45364124,NvProp Bajo
0.340964414,0.1884642,0.075921787,0.035820409,4042,1842893680,588,292,880,44603297,NvProp Bajo
0.341341259,0.190564516,0.077506303,0.034354839,4181,1837401972,545,307,852,45983858,NvProp Bajo
0.344187925,0.190651171,0.076739075,0.034224919,3946,1849336489,516,285,801,42710724,NvProp Bajo
0.343052655,0.188476999,0.075773388,0.034309148,4066,1845167992,576,269,845,44458349,NvProp Bajo
0.342972048,0.189149679,0.076923077,0.03378543,4130,1840539069,528,304,832,45189119,NvProp Bajo
0.33948983,0.192982456,0.078581608,0.035487352,4246,1838504148,583,305,888,45657820,NvProp Bajo
0.347195614,0.189932335,0.077964511,0.032893965,4319,1839829709,537,304,841,45564388,NvProp Bajo
0.343096288,0.184041602,0.074869985,0.032704965,4031,1843347025,499,306,805,44643069,NvProp Bajo
0.344577102,0.189635286,0.078108376,0.033886171,4258,1840795454,510,342,852,45268134,NvProp Bajo
0.344709876,0.186073286,0.076026068,0.033030291,4153,1837749996,534,298,832,45601571,NvProp Bajo
0.342848049,0.186492863,0.076270873,0.032508297,4129,1841681027,535,278,813,44972815,NvProp Bajo
0.343638752,0.188486089,0.076010504,0.034365089,4139,1836756929,556,300,856,46286488,NvProp Bajo
0.345329567,0.18887573,0.076491215,0.034099726,4101,1843939213,524,311,835,44158748,NvProp Bajo
0.339000419,0.187032522,0.075762731,0.033844374,4008,1840504684,518,301,819,44674426,NvProp Bajo
0.343218054,0.184782166,0.074599926,0.032318539,4009,1837742364,525,268,793,45303264,NvProp Bajo
0.344586958,0.189649643,0.077089522,0.031748577,4204,1841463980,527,265,792,45280398,NvProp Bajo
0.347089365,0.183721581,0.074350941,0.033443881,4058,1843291991,540,297,837,44721696,NvProp Bajo
0.342806759,0.187580802,0.075813953,0.034704266,4075,1842596789,568,291,859,44635704,NvProp Bajo
0.342637163,0.18715825,0.075791268,0.034536829,4090,1838956171,565,294,859,45115372,NvProp Bajo
0.341290658,0.190964753,0.076854672,0.034668211,4062,1837453936,554,284,838,45436007,NvProp Bajo
0.345803403,0.186804833,0.075432539,0.034008162,4107,1838120834,562,288,850,45753423,NvProp Bajo
0.34423943,0.19219826,0.078235006,0.033400685,4156,1846837308,505,305,810,44297929,NvProp Bajo
